robot_x,robot_y,stick_x,stick_y,puck_x,puck_y
1.2268360180346203,-0.4799314196341573,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2268360180346203,-0.4799314196341573,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2268360180346203,-0.4799314196341573,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2231599032839435,-0.48903867002522333,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2194837885332668,-0.49814592041628936,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2194837885332668,-0.49814592041628936,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2168295013001582,-0.5069236657396031,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2141752140670496,-0.5157014110629169,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2141752140670496,-0.5157014110629169,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.212432739679745,-0.5241391709050003,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2106902652924403,-0.5325769307470837,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2106902652924403,-0.5325769307470837,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2088358052399795,-0.5488244227828628,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2088358052399795,-0.5488244227828628,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.208649722407587,-0.5566923410444347,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2084636395751944,-0.5645602593060065,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2084636395751944,-0.5645602593060065,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2089750319437853,-0.5722560260855236,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2094864243123762,-0.5799517928650407,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2106880041824877,-0.5875740837773086,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2118895840525992,-0.5951963746895764,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2118895840525992,-0.5951963746895764,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.2138124009823366,-0.6028429452712738,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.215735217912074,-0.6104895158529712,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
1.215735217912074,-0.6104895158529712,-1.5529809189965014,-1.4772982912203971,1.6196424272185943,-0.006305433110325331
